QUEUE/ Request;Concern;ACTION;Email Address;Case Assignment/Email;
Customs Duties and Brokerage-Inclusive Fees;"Customer has a dispute on the Broker Inclusive Fees
• U.S. Import Brokerage (in USD) (Applies to Canada-to-U.S. Shipments):
• Canada Import Brokerage (in CAD) (Applies to U.S.-to-Canada Shipments):
See Rules Tariff 485 for complete details                                                                                                   Customs Duties 
Brokerage Inclusive Fees 
GST Total on Services Fee 
GST/HST Fee ";"Forward the case using Salesforce not Outlook
(copy in the Copy the Customer, Training Team and your Supervisor then close the case)

Make sure to Include the Pro no. or Invoice No. on your email.";desita.sulo@fedex.com;"Hi, 

 

Please assist on the customer’s dispute on Brokerage Inclusive fees and follow up with the customer. 

Case No: XXXXXX 

Pro No: XXXXXXXXXXXX 

 

Thank you, 

EBS Operations - Invoicing Solutions” ";
Customer Solutions Cases;If customer needs to talk to Customer Care or Collections;"Forward the case

Make sure to Include the Pro no. or Invoice No. on your email.";SYSTEM/TECHNICAL ISSUE on stated above requests: We do apologize for the technical difficulties that you are experiencing.  Please call 866-393-4585 for support with your shipment arrangements.;"Hi.

As of 11/02/2020, customersolutions@fedex.com will no longer process the following requests:
 
• Tracking requests (including reconsignments and pro lookups) 
• Rate quotes 
• Pickups
 
For these requests, please use fedex.com or call 1.866.393.4585.

We apologize for the inconvenience.

Thank you,
EBS Operations - Invoicing Solutions ";t
"Delivery Status
Shipping or Delivery Concern";"Customer sent below requests to either fxfrevsoltn@fedex.com or collections@fedex.com

• Delivery Status/Tracking request
• Shipping/Pickup Request or Delivery Concern/Request - additional handling or service
• Will Call Request or Cancellation
• Dock Pickup/Drop-Off Request
• Reconsignment or Return to Shipper Request 
• CHR disposition request of freight
• LTL Rate Quote Request";"Reply to the customer then close the case as denied
1-800-GOFEDEX

NOTE: Make sure that Pro/Freight bill number is provided on the case. We need to identify if shipment is for parcel or freight.

For parcel, please used billing@fedex.com template";;"Hi,

We apologize but we are unable to fulfill your request. Please contact your local service center or call 1-800-GOFEDEX (1.800-463.3339) for further assistance.


Thank you.
EBS Operations - Invoicing Solutions ";
"Customer Service | 
Collections";If customer needs to talk to Customer Care or Collections;Reply to the customer then close the case as denied;"1-800-GOFEDEX
1-800-463-3339";"Hi,

We apologize but we are unable to fulfill your request. Please call 1-800-GOFEDEX (1.800-463.3339) for further assistance.


Thank you.
EBS Operations - Invoicing Solutions ";
Agency Dispute;"Disputes coming from RMS Collect(QNEX Agents)

email of the sender has @iqor.com

Move to Agency Disputes ONLY requests/disputes that are normally handled in BILLING DISPUTES (Rebill, Class, Weight, Surcharge/Accessorial, Service Type, Reference Edit, All Short, Direct Shipment, etc)


DO NOT MOVE cases with requests/disputes to Agency Disputes that are not worked in Billing Disputes such as disputes we move to the following queues. Please move these requests to the appropriate queues.
SBL Email
Pricing 10 pros or less
WRO-HRO-Reweigh Research
WRO Cash Research
WRO-HRO-Freight Research
WRO-HRO-Account Supports
Account Processing
Invoicing Setup
And any non-Billing Dispute queues";Move the Case;fxfrevsoltn@fedex.com;"Case Owner: WRO Main Invoicing
Case Origin: WRO-HRO Agency Dispute
Sub Queue: N/A
";
Billing Dispute;"Billing Dispute Level 1

• Rebill per BOL
• Rebill per LOA
• Rebill per RVSL
• Weight Update per BOL
• Service Level
• Reference Number/Edit
• Change currency
• Intra-Center
NOTE: All rebill requests that include a request to apply rates—without a specific discount or agreement number provided—will be processed under Billing Disputes.


Basic Accessorial:
• High Cost Delivery Fee
• Demand Surcharge
• Zip Service Charge
• Cross-Border Fee
• Canadian Custom Inspection Fee
• Region Mall Fee
";Move the Case;"customersolutions@fedex.com
fxfrevsoltn@fedex.com
collections@fedex.com
(866) 393-4585
(866) 728-5733";"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: FXF Billing Disputes


*Warm transfer is needed when moving the case to Billing Disputes except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing
";
SBL Emails;"
DETENTION Dispute
- For Document request, move to Invoice Reprint
- For Reference Number such as PO#, follow guidelines in Detention job aid
- For Rebill per LOA, Do not assign the case to Pricing Small or SBL email. Move the case to Dispute 2
Add ""REBILL DETN_"" Keyword at the beginning of the subject line
- For request to apply rates, to pull their contract/agreement - move to SBL Email
Add ""DETN"" Keyword at the beginning of the subject line

COSTCO DETENTION: Please be advised if you see a salesforce case with the subject Costco detention A0 – EDI 210 rejects, which will be submitted by Tammy Smith, possibly once a day, these need to be moved to SBL email sub queue and assigned to Melinda Keeton. Per management she is working these for now.

RESD/LTDD/PORT/EXHIBITION Site Dispute including Special Accounts - only if disputing the validity/pricing/exception of the fee. Rebill request should be handled in Dispute 2.
Add in the subject line
REBILL DETN_
REBILL LTDD_
REBILL RESD_
REBILL PORT/EXHIBITION_
";Move the Case;;"
Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: SBL Emails


*Warm transfer is needed when moving the case to SBL Emails except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing";
Dispute 2;"All disputes related to charges, including pricing issues, should be moved to Dispute 2.

• Liftgate fee
• Inside Delivery
• Lumper
• Early Delivery
• Rebill request for DETN/LTDD/RESD/PORT/EXHIBITION- REBILL REQUEST ONLY
• Redelivery
• Storage
• NOST
• Sort and Segregate
• Notify
• Blind Shipment
• Hazardous Materials
• Inbond fee
• Protect from Freezing
• Non-Business Hrs/Day
• Weighing Service (WGTV
• Handling fee
• Reconsign/Relinquish/RTS - All disputes related to reconsignment Fee should also be moved to Dispute 2(EXCEPT REWEIGH DISPUTE)

Exceptions: CAPL, Invoice Reprint, and International Shipments remain outside Dispute 2.
";"Move the case but make sure to update the Subject line by adding the corresponding keyword based on the Dispute.

•	Liftgate fee – LIFT_
•	Inside Delivery- INSIDE_
•	Lumper- LUMP_
•	Early Delivery- EARLY_
•	Rebill request for DETN/LTDD/RESD/PORT/EXHIBITION
•	REBILL DETN_
•	REBILL LTDD_
•	REBILL RESD_
•	REBILL PORT/EXHIBITION_
•	Redelivery- RDEL_
•	Storage- STOR_
•	NOST- NOST_
•	Sort and Segregate- SSG_
•	Notify- NTFY_
•	Blind Shipment- BLND_
•	Hazardous Materials- HAZMAT_
•	Inbond fee- INBOND_
•	Protect from Freezing- PFF_
•	Non-Business Hrs/Day- NBH_
•	Weighing Service (WGTV)- WGTV_
•	Handling fee- HNDL_
•	Reconsignment- RECON_
";;"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Dispute 2

Subject: Always enter the appropriate keyword

For pricing-related disputes, include “PRIC” in the subject line.
These cases will be handled by our Pricing Agents.
Example: For a Liftgate exception (either waived or reduced amount), use:
Subject: LIFT PRIC_


*Warm transfer is needed when moving the case to SBL Emails except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing
";
"Dispute Resolution
";"Level 2 (Dispute Resolution)

• Class Update per BOL/REWE
• Combined Shipments
• Duplicate Shipments
• Suffixes - C0, D0, F0, S0, Y0
• FedEx Direct Shipments
• Freight Box
• Expedited Shipments/Priority Plus
• LTL Rate Quote
• Volume Quote/Volume Shipments
• All Short Shipments
• FedEx Employee Discount
• Fraud
• Void Request
• Tax Disputes
• LTL vs Ground or LTL vs Express

Advanced Accessorial:
• Invalid Credit Taken
• Carrier Liability/Excessive Value
• COD Fee
• Canadian Surcharge
• Overflow Charges
• Shave a Day
";"Move the case but make sure to Update the Subject line by adding the corresponding keyword based on the Dispute

Class Update per BOL/REWE - CLAS_
Combined Shipments - COMB_
Duplicate Shipments - DUP_
Suffixes - C0, D0, F0, S0, Y0 - C0_, D0_, F0_, S0_, Y0_
(whichever is applicable) This is ""Zero"", not ""Letter O""
FedEx Direct Shipments - FXFD_
Freight Box - FBOX_
Expedited Shipments/Priority Plus - EXPEDITED_
LTL Rate Quote - LQ_
Volume Quote - VQ_
Volume Shipment - TLX_
All Short Shipments - SHORT_
FedEx Employee Discount - EMP DISC_
Fraud - FRAUD_
Void Request - VOID_
Tax Disputes - TAX_
LTL vs Ground or LTL vs Express - PARCEL_

Advanced Accessorial:
Invalid Credit Taken - ICT_
Carrier Liability - ELCC_
COD Fee - COD_
Canadian Surcharge - CA FEE_
Overflow Charges - OVERFLOW_
Shave a Day fee - SHAD_
";"customersolutions@fedex.com
fxfrevsoltn@fedex.com
collections@fedex.com
(866) 393-4585
(866) 728-5733";"Case Owner: WRO Main Invoicing
Case Origin: WRO Main Invoicing
Sub Queue: Dispute Resolution


*Warm transfer is needed when moving the case to Dispute Resolution except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing";
Pricing Small;"•     EARNED or GRACE DISCOUNT: Add EARNED OR GRACE DISCOUNT to the front of the Subject Line of the case
•     Any disputes as long as the customer states that it should be updated per the pricing/agreement/tariff/contract
•     Accessorial/Surcharge Dispute per contract/pricing agreement/tariff: When customer claims that fee should be reduced or removed per contract (Assign to Pricing 10 pros or less)
•     % Discount Dispute for Economy vs Priority
•     Tier/Matrix Dispute
•     FAK Rates Application
•     Lost/Damage/Short Shipment but disputing per their Agreement

Note: If the rebill request includes applying rates with a specific discount or agreement number provided, that is the only time we move it to Pricing.";Move the case;;"(regardless of the No. of Pros)
Case Owner: WRO Main Invoicing 
Case Origin: WRO Main Invoicing
Sub Queue: Pricing Small (Pricing Dispute (10 PROs or less)


*NOTE: If working on multiples PROs and dispute is for both surcharge exception and discount, move all Pros to Main Invoicing > Pricing


*Warm transfer is needed when moving the case to Pricing except if the case is from Preprocessing and PPP

No Need to do a Warm Transfer if the movement is within the same Queue.
Example: BD to BD, Pricing to Pricing";
